"hour","min_op1","min_op2","min_op3","min_op4","min_op5","min_op6"
"6","35","45","55","","",""
"7","5","15","25","45","",""
"8","5","15","25","35","45",""
"9","5","25","45","","",""
"10","35","55","","","",""
"11","45","","","","",""
"12","5","15","35","","",""
"13","5","25","45","","",""
"14","5","25","35","45","",""
"15","5","25","45","","",""
"16","5","25","45","","",""
"17","5","15","25","35","45","55"
"18","5","15","25","35","45",""
"19","5","55","","","",""
"20","15","35","55","","",""
"21","5","15","25","35","45","55"
"22","5","15","25","","",""
