"hour","min_op1","min_op2","min_op3","min_op4","min_op5","min_op6"
"6","30","40","50","","",""
"7","0","10","20","30","40","50"
"8","0","10","20","30","40",""
"9","0","20","40","","",""
"10","20","40","","","",""
"11","0","40","","","",""
"12","0","20","40","","",""
"13","0","20","30","40","50",""
"14","0","20","40","","",""
"15","0","10","20","30","50",""
"16","10","30","40","50","",""
"17","0","10","20","30","40","50"
"18","0","10","20","30","40","50"
"19","0","20","30","40","",""
"20","0","10","20","30","40",""
